season,season_nbr,score,polarity,subjectivity
"San Juan
del Sur",29.0,-2,-0.4,0.65
"San Juan
del Sur",29.0,0,0.41250000000000003,0.7597222222222222
"San Juan
del Sur",29.0,0,0.053778860028860016,0.44688852813852803
"San Juan
del Sur",29.0,0,0.11666666666666664,0.38333333333333336
"San Juan
del Sur",29.0,0,-0.019212962962962973,0.38657407407407407
"San Juan
del Sur",29.0,30,-0.11891534391534393,0.6324074074074074
"San Juan
del Sur",29.0,1,0.06999999999999999,0.62
"San Juan
del Sur",29.0,9,-0.2,0.1
"San Juan
del Sur",29.0,1,0.31428571428571433,0.39999999999999997
"San Juan
del Sur",29.0,3,1.0,0.3
"San Juan
del Sur",29.0,0,0.15833333333333333,0.4666666666666666
"San Juan
del Sur",29.0,2,0.26,0.6033333333333333
"San Juan
del Sur",29.0,5,0.3725641025641026,0.5971794871794872
"San Juan
del Sur",29.0,25,-0.07499999999999998,0.8805555555555556
"San Juan
del Sur",29.0,7,0.32,0.36
"San Juan
del Sur",29.0,1,0.19166666666666665,0.37222222222222223
"San Juan
del Sur",29.0,1,0.225,0.26666666666666666
"San Juan
del Sur",29.0,3,0.1662962962962963,0.5148148148148148
"San Juan
del Sur",29.0,1,0.0,0.0
"San Juan
del Sur",29.0,2,0.0,0.0
Borneo,1.0,25,0.17624223602484473,0.46402691511387156
Borneo,1.0,10,0.13809523809523808,0.6261904761904761
Borneo,1.0,46,0.24588060557263458,0.5342677116227845
Borneo,1.0,7,0.0,0.0
Borneo,1.0,7,0.1125,0.3833333333333333
Borneo,1.0,6,0.1875,0.6333333333333334
Borneo,1.0,5,0.19454545454545452,0.5018181818181817
Borneo,1.0,6,0.21142857142857144,0.5371428571428571
Borneo,1.0,3,0.3608333333333334,0.5766666666666667
Borneo,1.0,4,0.21829545454545454,0.5451515151515152
Borneo,1.0,4,0.0,1.0
Borneo,1.0,2,0.18333333333333335,0.5972222222222222
Borneo,1.0,2,0.008888888888888887,0.47388888888888897
Borneo,1.0,2,0.019230769230769214,0.55491452991453
Borneo,1.0,2,0.07213085399449035,0.4677341597796143
Borneo,1.0,1,0.185,0.6566666666666666
Borneo,1.0,1,0.10520833333333333,0.4819444444444445
Borneo,1.0,9,-0.025000000000000005,0.295
Borneo,1.0,29,0.13125,0.5291666666666667
Borneo,1.0,7,0.5,0.5
Borneo,1.0,6,0.1259259259259259,0.42962962962962964
Borneo,1.0,6,0.095,0.512
Borneo,1.0,5,0.1613636363636364,0.5537878787878788
Borneo,1.0,5,0.15555555555555556,0.4964814814814815
Borneo,1.0,5,0.25925925925925924,0.5222222222222223
Borneo,1.0,3,-6.938893903907228e-18,0.49062500000000003
Borneo,1.0,2,0.12999999999999998,0.5466666666666666
Borneo,1.0,2,0.01759259259259258,0.41944444444444445
Borneo,1.0,2,0.1633464749536178,0.6097093382807669
Borneo,1.0,3,0.45873015873015877,0.446031746031746
Borneo,1.0,1,0.3013888888888889,0.47777777777777775
Borneo,1.0,1,-0.07582417582417583,0.5840659340659341
Borneo,1.0,1,0.16521739130434784,0.5036231884057971
Borneo,1.0,1,0.49000000000000005,0.61
Borneo,1.0,1,0.17469896331738438,0.3843620414673046
Borneo,1.0,1,0.20680272108843537,0.5816326530612245
Borneo,1.0,2,0.1871685606060606,0.41388888888888875
Vanuatu,9.0,29,0.20624999999999996,0.6743055555555556
Vanuatu,9.0,9,0.3941666666666667,0.5405555555555556
Vanuatu,9.0,4,0.4602564102564103,0.7435897435897435
Vanuatu,9.0,5,0.27142857142857146,0.4607142857142857
Vanuatu,9.0,4,0.3424242424242424,0.4348484848484848
Vanuatu,9.0,3,0.19086538461538463,0.5724358974358975
Vanuatu,9.0,3,0.3500000000000001,0.6524561403508772
Vanuatu,9.0,7,0.26086001642036133,0.5578797208538588
Vanuatu,9.0,4,0.38538961038961045,0.5155844155844155
Vanuatu,9.0,2,0.35714285714285715,0.5571428571428572
Vanuatu,9.0,2,0.05500000000000001,0.335
